,Community Area,2010,2011,2012,2013,2014,2015,2016,2017
0,0.0,0.30000000000000004,0.5,4.3999999999999995,4.1,1.1,1.1,,
1,1.0,3572.299999999864,3329.0999999998926,2874.8999999998923,2446.999999999912,2262.2999999999292,2195.9999999999386,2380.599999999951,85.99999999999986
2,2.0,3975.0999999999103,3584.8999999999273,3170.6999999999325,2526.6999999999166,2440.3999999999364,2238.0999999999435,2497.199999999963,158.19999999999987
3,3.0,2884.199999999888,2849.59999999989,3032.199999999903,2244.5999999999012,1917.699999999908,2222.4999999999527,2110.099999999972,120.19999999999993
4,4.0,1851.1999999999468,1679.4999999999827,1767.2999999999797,1529.2999999999795,1173.0999999999826,1037.9,1274.4999999999804,54.10000000000002
5,5.0,1592.899999999986,1701.5999999999865,1664.399999999986,1379.2999999999874,1145.7999999999888,958.6000000000021,937.3000000000026,30.7
6,6.0,4776.000000000211,5119.90000000022,5834.600000000237,4448.400000000199,3524.399999999962,3364.9999999999663,3991.8999999999683,180.09999999999985
7,7.0,3716.3999999999796,3707.5999999999945,3887.8999999999764,2876.9999999999873,2257.9999999999914,2257.1999999999985,2548.2999999999965,142.79999999999995
8,8.0,4739.900000000498,4378.300000000398,4047.9999999998613,3562.3999999998973,3145.5999999999885,3319.199999999974,4509.300000000067,180.6999999999999
9,9.0,167.79999999999959,235.3999999999997,190.19999999999968,154.89999999999984,121.2999999999996,131.69999999999962,182.79999999999967,1.9000000000000004
10,10.0,951.4000000000049,1024.1000000000051,905.9000000000038,675.2000000000053,750.5000000000049,748.3000000000052,818.5000000000042,35.000000000000014
11,11.0,945.300000000006,1007.9000000000049,1074.8999999999915,892.7000000000072,851.1000000000039,742.6000000000046,716.100000000003,29.50000000000001
12,12.0,579.7000000000011,556.2000000000007,527.3000000000009,418.0000000000007,367.7000000000007,303.70000000000107,455.2000000000014,22.6
13,13.0,1112.999999999993,1028.9000000000003,973.2000000000043,690.7000000000029,714.5000000000033,650.6000000000032,647.8000000000035,31.500000000000007
