ZIP,LAT,LNG
60007,42.008600, -87.997340
60008,42.069786, -88.016221
60010,42.146494, -88.164651
60012,42.272492, -88.314084
60013,42.223439, -88.235506
60014,42.232414, -88.327449
60015,42.173809, -87.878173
60016,42.049573, -87.895003
60018,41.979388, -87.894358
60020,42.389054, -88.173346
60021,42.194697, -88.217108
60022,42.135423, -87.761882
60025,42.075201, -87.821026
60026,42.092234, -87.837445
60029,42.059253, -87.778339
60030,42.337078, -88.044326
60031,42.373574, -87.939353
60033,42.424786, -88.608011
60034,42.456318, -88.419695
60035,42.185968, -87.805939
60040,42.206363, -87.813098
60041,42.364552, -88.151120
60042,42.278206, -88.196627
60043,42.088859, -87.714588
60044,42.284408, -87.862297
60045,42.235997, -87.864777
60046,42.416323, -88.059119
60047,42.203134, -88.044208
60048,42.295408, -87.950611
60050,42.331147, -88.295180
60051,42.354910, -88.229132
60053,42.042336, -87.788946
60056,42.067166, -87.934719
60060,42.270103, -88.039292
60061,42.234909, -87.959135
60062,42.126279, -87.845088
60064,42.324027, -87.856704
60067,42.106323, -88.064337
60068,42.011762, -87.843434
60069,42.196594, -87.924704
60070,42.103663, -87.928972
60071,42.468405, -88.315683
60072,42.406704, -88.305861
60073,42.348824, -88.109581
60074,42.131462, -88.026329
60076,42.035260, -87.729928
60077,42.034746, -87.757188
60081,42.451014, -88.225410
60083,42.436276, -87.941752
60084,42.269669, -88.140911
60085,42.352097, -87.867656
60087,42.403085, -87.850836
60088,42.309632, -87.844061
60089,42.167231, -87.964063
60090,42.129614, -87.921503
60091,42.077788, -87.720570
60093,42.106708, -87.756292
60096,42.479722, -87.824805
60097,42.396983, -88.369978
60098,42.326265, -88.456087
60099,42.459988, -87.865021
60101,41.930516, -88.016937
60102,42.165165, -88.308768
60103,41.980546, -88.204761
60104,41.882844, -87.876430
60106,41.959701, -87.941835
60107,42.020586, -88.177771
60108,41.950022, -88.091865
60109,42.049807, -88.545918
60110,42.114687, -88.291866
60111,42.009497, -88.805358
60112,41.924797, -88.690186
60113,41.932247, -88.965872
60115,41.901277, -88.761435
60118,42.106259, -88.304383
60119,41.851532, -88.476450
60120,42.034492, -88.238396
60123,42.040644, -88.311296
60124,42.020169, -88.400686
60126,41.896843, -87.941240
60129,42.008121, -88.974996
60130,41.866433, -87.817396
60131,41.938755, -87.884263
60133,41.977842, -88.143199
60134,41.878343, -88.342066
60135,42.112495, -88.670862
60136,42.105438, -88.380571
60137,41.865213, -88.061479
60139,41.918877, -88.078095
60140,42.079040, -88.513208
60141,41.857845, -87.838010
60142,42.173954, -88.444595
60143,41.975335, -88.022464
60144,41.835957, -88.520644
60145,42.084569, -88.773820
60146,42.099982, -88.874061
60148,41.873571, -88.020766
60150,41.925800, -88.891997
60151,41.918475, -88.574468
60152,42.237802, -88.625501
60153,41.879283, -87.843251
60154,41.847472, -87.891640
60155,41.857694, -87.856223
60156,42.203613, -88.320701
60157,41.975252, -88.056054
60160,41.904144, -87.860665
60162,41.867531, -87.902184
60163,41.888819, -87.909053
60164,41.917512, -87.900699
60165,41.903215, -87.880713
60169,42.050870, -88.116615
60171,41.925046, -87.838372
60172,41.979850, -88.089628
60173,42.051556, -88.055522
60174,41.930652, -88.298614
60175,41.948188, -88.388701
60176,41.958125, -87.868886
60177,41.988481, -88.310167
60178,42.008032, -88.661107
60180,42.225262, -88.524527
60181,41.876897, -87.976328
60184,41.951502, -88.253170
60185,41.896691, -88.211014
60187,41.872720, -88.112442
60188,41.915737, -88.129434
60189,41.840632, -88.122024
60190,41.871784, -88.157015
60191,41.966306, -87.980851
60192,42.063272, -88.203662
60193,42.009666, -88.096644
60194,42.034820, -88.110285
60195,42.074962, -88.086284
60201,42.056214, -87.692402
60202,42.030355, -87.685549
60203,42.049045, -87.717453
60301,41.888545, -87.798933
60302,41.894609, -87.789711
60304,41.872389, -87.789483
60305,41.894875, -87.819064
60401,41.343966, -87.616389
60402,41.835216, -87.791373
60403,41.553739, -88.134185
60404,41.514026, -88.223228
60406,41.654945, -87.681952
60407,41.234907, -88.261302
60408,41.263739, -88.215536
60409,41.613641, -87.552122
60410,41.423643, -88.201754
60411,41.508774, -87.590314
60415,41.702967, -87.778864
60416,41.293908, -88.283101
60417,41.427585, -87.586149
60419,41.629149, -87.598820
60420,41.088287, -88.416970
60421,41.431182, -88.099710
60422,41.536963, -87.684139
60423,41.477349, -87.832419
60424,41.164148, -88.327716
60425,41.545577, -87.611725
60426,41.610343, -87.653395
60428,41.599800, -87.690567
60429,41.574029, -87.683706
60430,41.558880, -87.664442
60431,41.509668, -88.180211
60432,41.541747, -88.034728
60433,41.499502, -88.043681
60435,41.548590, -88.128928
60436,41.486888, -88.129295
60437,41.162929, -88.560435
60438,41.566242, -87.550204
60439,41.676906, -87.977229
60440,41.700600, -88.075006
60441,41.592639, -88.050043
60442,41.392698, -87.963468
60443,41.502184, -87.748201
60444,41.243115, -88.402732
60445,41.634390, -87.736395
60446,41.631698, -88.106903
60447,41.487239, -88.322166
60448,41.537785, -87.892451
60449,41.417550, -87.778885
60450,41.366293, -88.434561
60451,41.509217, -87.960579
60452,41.606984, -87.753523
60453,41.713436, -87.752560
60455,41.742093, -87.808649
60456,41.731248, -87.731134
60457,41.724657, -87.828048
60458,41.753401, -87.826941
60459,41.744431, -87.768576
60460,40.998479, -88.536714
60461,41.522116, -87.700733
60462,41.625307, -87.832930
60463,41.662446, -87.789969
60464,41.662840, -87.860756
60465,41.698023, -87.829143
60466,41.477816, -87.683188
60467,41.601860, -87.887323
60468,41.335283, -87.810291
60469,41.628359, -87.687037
60470,41.168970, -88.641026
60471,41.478971, -87.734059
60472,41.643075, -87.708082
60473,41.597379, -87.599150
60474,41.179801, -88.266441
60475,41.472540, -87.627508
60476,41.569483, -87.601709
60477,41.572143, -87.789250
60478,41.563453, -87.725409
60479,41.232384, -88.526396
60480,41.729231, -87.881134
60481,41.285524, -88.110548
60482,41.687843, -87.789946
60484,41.443818, -87.710988
60487,41.562730, -87.834416
60490,41.669320, -88.145399
60491,41.602523, -87.962618
60501,41.780221, -87.823244
60502,41.790651, -88.259738
60503,41.712127, -88.255180
60504,41.747452, -88.238622
60505,41.764527, -88.294658
60506,41.765703, -88.363853
60510,41.841141, -88.306602
60511,41.758993, -88.551993
60512,41.701600, -88.439790
60513,41.825059, -87.847546
60514,41.795689, -87.962155
60515,41.810554, -88.022796
60516,41.761302, -88.013394
60517,41.740329, -88.042149
60518,41.598842, -88.919741
60519,41.777818, -88.242612
60520,41.787267, -88.667548
60521,41.800683, -87.928172
60523,41.836558, -87.953278
60525,41.783830, -87.871802
60526,41.831794, -87.873995
60527,41.743074, -87.929214
60530,41.797084, -88.952274
60531,41.619207, -88.787498
60532,41.789443, -88.083984
60534,41.813484, -87.823564
60536,41.597542, -88.549959
60537,41.560474, -88.604139
60538,41.726871, -88.338195
60539,41.827240, -88.336209
60540,41.764670, -88.145428
60541,41.513344, -88.532398
60542,41.809626, -88.352573
60543,41.664136, -88.317818
60544,41.614138, -88.218784
60545,41.678691, -88.537120
60546,41.837923, -87.821859
60548,41.649593, -88.640479
60549,41.502537, -88.739635
60550,41.779872, -88.861945
60551,41.524931, -88.687441
60552,41.666888, -88.706507
60553,41.826254, -89.040056
60554,41.776684, -88.457062
60555,41.822167, -88.180773
60556,41.762915, -88.771125
60557,41.448102, -88.760078
60558,41.805603, -87.901039
60559,41.794371, -87.972860
60560,41.608220, -88.429346
60561,41.745663, -87.981494
60563,41.790146, -88.203829
60564,41.706073, -88.195394
60565,41.730729, -88.124336
60585,41.657058, -88.225243
60586,41.571567, -88.238218
60601,41.885310, -87.622116
60602,41.883073, -87.629149
60603,41.880188, -87.625509
60604,41.878095, -87.628461
60605,41.867566, -87.617228
60606,41.882066, -87.637349
60607,41.874930, -87.651596
60608,41.846880, -87.670664
60609,41.812680, -87.656935
60610,41.906772, -87.632231
60611,41.895700, -87.613775
60612,41.880320, -87.687749
60613,41.956949, -87.654272
60614,41.922714, -87.649577
60615,41.801647, -87.596288
60616,41.844883, -87.624032
