License,DBA Name,Community Area,InspectionScore
2.0,COSI,32.0,8.61111111111111
9.0,XANDO COFFEE & BAR / COSI SANDWICH BAR,32.0,30.9
40.0,COSI,32.0,34.0
62.0,XANDO COFFEE & BAR / COSI SANDWICH BAR,32.0,27.85
85.0,XANDO COFFEE & BAR / COSI SANDWICH BAR,8.0,47.666666666666664
99.0,XANDO COFFEE & BAR / COSI SANDWICH BAR,32.0,21.214285714285715
115.0,JOHN SCHALLER,60.0,3.5833333333333335
126.0,"CAL'S 400 LIQUORS, INC.",32.0,5.0
139.0,KILDARE LIQUORS,14.0,83.5
149.0,FOX'S BEVERLY PUB,72.0,70.88888888888889
158.0,BURWOOD TAP,7.0,48.833333333333336
207.0,RIVER SHANNON,7.0,27.375
218.0,LAURIE'S REST & COCKTAIL LOUNG,3.0,9.0
241.0,HARD WATER BAR & GRILL,1.0,150.0
241.0,HOP HAUS ROGERS PARK,1.0,31.333333333333332
257.0,GEJA'S CAFE,7.0,31.38888888888889
260.0,PARK MANOR LOUNGE,69.0,189.0
271.0,ROMA'S REST,46.0,6.0
276.0,"BUTCH MC GUIRE'S, INC.",8.0,32.111111111111114
319.0,LITTLE JOE'S CIRCLE LOUNGE INC,28.0,2.0
349.0,CLOVER CORP,7.0,20.0
349.0,KELLY'S PUB,7.0,48.666666666666664
353.0,SKYWAY LANES,51.0,1.5
368.0,GOLDIES,5.0,0.0
385.0,"MR BEEF ON HARLEM, LTD",17.0,19.77777777777778
404.0,CELTIC CROWN,5.0,44.2
491.0,"LA UNICA FOOD MART, INC.",77.0,75.16666666666667
526.0,DI'S DEN,15.0,0.0
556.0,RENALDI'S PIZZA,6.0,56.0
574.0,ZAVEN INC,8.0,31.928571428571427
644.0,MAXIM'S RESTAURANT INC,32.0,28.928571428571427
653.0,ZIEMEK CORP.,11.0,67.5
663.0,EL NUEVO GUADALAJARA INC,61.0,2.6
666.0,THE BAKED TOMATO,16.0,54.125
687.0,TOWN HALL PUB,6.0,2.0
691.0,DICKENS STREET PUBLIC HOUSE,7.0,56.0
691.0,FOUR FARTHINGS TAVERN & GRILL,7.0,96.35714285714286
700.0,ORSO'S RESTAURANT,8.0,46.833333333333336
732.0,WOODLAWN GARDENS,47.0,26.8
740.0,CHRIS' BAR,24.0,70.5
747.0,GUIDE'S SPORTS CLUB,56.0,2.2
753.0,LINCOLN RESTAURANT,5.0,45.875
760.0,LAS QUINCE LETRAS,30.0,108.0
783.0,PORRETTA'S RESTAURANT INC,15.0,14.25
800.0,RESI'S BIERSTUBE INC,5.0,24.142857142857142
833.0,STEVE'S LOUNGE,55.0,40.833333333333336
845.0,ANDYS 11 EAST LOUNGE,8.0,34.6875
853.0,R J GRUNTS,7.0,33.55555555555556
928.0,TEASER'S PUB,10.0,12.25
955.0,FREDY'S INN,21.0,11.25
968.0,CAFE BERNARD,7.0,150.0
968.0,CHEZ MOI,7.0,21.583333333333332
990.0,FALCO'S PIZZA,58.0,38.55555555555556
1043.0,GRAND RIVER,6.0,39.333333333333336
1050.0,"MARTINO'S ITALIAN CUISINE & PIZZERIA, INC.",13.0,15.444444444444445
1058.0,LATIN AMERICAN REST & LOUNGE,24.0,115.11111111111111
1060.0,ZIGGY'S SIDE DOOR PUB & DELI,64.0,4.2
1064.0,MI TIERRA-SOUTH,30.0,16.8
1077.0,MONK'S PUB,32.0,15.1875
1158.0,"LAKESHORE RACQUET CLUB, INC.",7.0,9.0
1168.0,BEEF AND BRANDY RESTAURANT,32.0,68.05555555555556
1187.0,SADDLE AND CYCLE CLUB,77.0,60.25
1192.0,SABATINOS INC,16.0,18.8125
1196.0,FINN MC COOL'S / ALUMNI CLUB,8.0,16.25
1196.0,HOPSMITH TAVERN,8.0,9.7
1196.0,SNUGGERY / APARTMENT,8.0,2.0
1206.0,GOUDY ELEMENTARY,3.0,32.111111111111114
1212.0,BRUNA'S CAFE,31.0,12.5
1219.0,MOODY'S RESTAURANT INC,77.0,43.95
1237.0,"ITALIAN VILLAGE RESTAURANT, INC.",32.0,28.1
1242.0,PALM RESTAURANT,32.0,24.375
1246.0,BREHON PUB,8.0,43.125
1254.0,B AND J RESTAURANT INC,10.0,38.125
1254.0,DINO'S PIZZA,10.0,59.8
1261.0,IRVING PARK LANES,15.0,3.0
1292.0,ARCH VIEW RESTAURANT,59.0,108.5
1362.0,MONTESSORI OF ENGLEWOOD,67.0,17.88888888888889
1387.0,GROVER CLEVELAND ELEMENTARY SCHOOL,16.0,4.15
1425.0,KIRKWOOD BAR & GRILL,6.0,15.333333333333334
1434.0,GROUCHO'S BAR & GRILL,70.0,10.857142857142858
1447.0,J V ENTERPRISES INC,32.0,59.375
1450.0,St. Ann School,31.0,16.55
1462.0,QUENCHER'S INC,22.0,26.166666666666668
1470.0,VILLA PALERMO INC,2.0,99.72222222222223
1491.0,BLACKIE'S,32.0,23.714285714285715
1491.0,HALF SOUR,32.0,176.5
1525.0,EL NUEVO MEXICANO,6.0,11.375
1529.0,MARIE'S LIQUORS INC.,14.0,65.7
1542.0,MELLOW YELLOW,41.0,43.45
1553.0,PEPE TACO,75.0,23.2
1574.0,GOLDEN TIARA LTD,15.0,2.0
1578.0,1000 LIQUORS / BIG CITY TAP,6.0,50.77777777777778
1585.0,DON CARLOS RESTAURANT,23.0,3.0
1588.0,JOHN VELIOTIS SR.,60.0,23.333333333333332
1588.0,JOHNNY O'S,60.0,82.66666666666667
1599.0,BACCHANALIA REST & LNG,31.0,18.85
1650.0,KINGSTON MINES,7.0,26.833333333333332
1655.0,HELLAS GYROS INC,77.0,40.875
1673.0,RON OF JAPAN INC,8.0,14.75
1699.0,ST. PASCAL,17.0,5.35
1710.0,ST. MARGARET MARY SCHOOL,2.0,9.5
1726.0,NEW ARCHVIEW RESTAURANT INC,59.0,38.611111111111114
1732.0,EXCHEQUER RESTAURANT,32.0,31.5
1745.0,South Loop Elementary,33.0,4.75
1750.0,AZTECA TACOS RESTAURANT INC,31.0,192.25
1753.0,AZTECA TACOS,31.0,36.0
1762.0,FRANKIE Z' CLARK BAR,8.0,4.0
1766.0,MIRABELL RESTAURANT,16.0,63.7
1770.0,VALENTINO CLUB CAFE,18.0,1.0
1791.0,JA' GRILL,7.0,33.5
1791.0,THE BUDLONG HOT CHICKEN,7.0,114.66666666666667
1794.0,"THREE SONS RESTAURANT, INC.",56.0,14.7
1800.0,PALERMO'S RESTAURANT,65.0,26.11111111111111
1804.0,CUERNAVACA RESTAURANT INC,31.0,47.25
1806.0,AMBASSADOR PUBLIC HOUSE,28.0,19.333333333333332
1806.0,AVIVA RESTAURANT,28.0,68.5
1806.0,BOUZOUKI LOUNGE,28.0,12.75
1813.0,LA SALLE LANGUAGE ACADEMY,7.0,4.0
1838.0,TERESA RESTAURANT /BANQUET HAL,15.0,17.583333333333332
1869.0,SUPAROSSA,15.0,46.22222222222222
1872.0,MR B'S INC,15.0,25.25
1876.0,JIMENEZ FRESH MARKET,15.0,64.0
1918.0,BIG,32.0,3.95
1922.0,BISTRO 151/BAR AT 151,32.0,25.428571428571427
1922.0,NETWORKS BAR/GRILL,32.0,25.166666666666668
1925.0,CRYSTAL BALLROOM/PLAZA BALLROOM,32.0,3.1
1928.0,FAT EDDIE'S EMPLOYEE CAFETERIA,32.0,6.05
1929.0,REGENCY CATERERS,32.0,9.25
1932.0,ST ELIZABETH ELEMENTARY SCHOOL,38.0,6.875
1932.0,STETSON'S,32.0,6.2
1932.0,St. Elizabeth Elem. School,38.0,122.0
1937.0,THE GALLERY,32.0,3.0555555555555554
1939.0,EAST TOWER MAIN KITCHEN,32.0,11.1
1945.0,HYATT REGENCY CHICAGO-J'S DELI,32.0,9.0
1955.0,EAST BANK CLUB,8.0,46.166666666666664
1975.0,BLUE ANGEL INC,11.0,71.75
1975.0,FENNIGAN'S,11.0,3.0
1976.0,Holy Trinity High School,24.0,18.77777777777778
1978.0,Orly's/Jalapeno,41.0,121.5
1984.0,MI TIERRA,6.0,3.3333333333333335
2003.0,MON AMI GABI,7.0,29.428571428571427
2017.0,1555 CLUB,8.0,3.0
2035.0,ESPERANZA SCHOOL,24.0,40.333333333333336
