Community Area,License
0.0,266
1.0,382
2.0,461
3.0,459
4.0,383
5.0,328
6.0,1329
7.0,925
8.0,2126
9.0,68
10.0,160
11.0,106
12.0,71
13.0,161
14.0,363
15.0,282
16.0,330
17.0,201
18.0,68
19.0,439
20.0,92
21.0,247
22.0,725
23.0,281
24.0,1159
25.0,517
26.0,97
27.0,94
28.0,1454
29.0,160
30.0,370
31.0,363
32.0,1734
33.0,254
34.0,319
35.0,115
36.0,8
37.0,34
38.0,158
39.0,60
40.0,50
41.0,264
42.0,106
43.0,223
44.0,180
45.0,69
46.0,157
47.0,2
48.0,78
49.0,210
50.0,42
51.0,78
52.0,105
53.0,83
54.0,18
55.0,57
56.0,247
57.0,114
58.0,187
59.0,94
60.0,171
61.0,228
62.0,76
63.0,182
64.0,88
65.0,215
66.0,243
67.0,131
68.0,148
69.0,210
70.0,191
71.0,247
72.0,122
73.0,149
74.0,83
75.0,130
76.0,71
77.0,451
